461,Ouachita Baptist University,Private,www.obu.edu
462,Ohio Wesleyan University,Private,www.owu.edu
463,Birmingham-Southern College,Private,www.bsc.edu
464,Berea College,Private,www.berea.edu
465,Roanoke College,Private,roanoke.edu
466,University of Colorado Denver,Public,www.cu.edu
467,Saint Vincent College,Private,www.stvincent.edu
468,Spelman College,Private,www.spelman.edu
469,California State University Sacramento,Public,www.csus.edu
470,Wittenberg University,Private,www.wittenberg.edu
471,South Dakota State University,Public,www.sdstate.edu
472,Coe College,Private,www.coe.edu
473,East Carolina University,Public,www.ecu.edu
474,California State University Northridge,Public,www.csun.edu
475,University of Alabama in Huntsville,Public,www.uah.edu
476,Mercer University,Private,www.mercer.edu
477,Oklahoma City University,Private,www.okcu.edu
478,Rider University,Private,www.rider.edu
479,Loyola University New Orleans,Private,www.loyno.edu
480,Nova Southeastern University,Private,www.nova.edu
481,Grand Valley State University,Public,www.gvsu.edu
482,Florida Atlantic University,Public,www.fau.edu
483,Northwestern College (IA),Private,www.nwciowa.edu
484,Pacific University (OR),Private,www.pacificu.edu
485,University of North Carolina Charlotte,Public,www.uncc.edu
486,Tennessee Technological University,Public,www.tntech.edu
487,Ball State University,Public,cms.bsu.edu
488,Elmhurst College,Private,https://www.elmhurst.edu
489,Touro College,Private,www.touro.edu
490,CUNY John Jay College of Criminal Justice,Public,www.jjay.cuny.edu
491,CUNY Lehman College,Public,www.lehman.cuny.edu
492,California State University East Bay,Public,www.csueastbay.edu
493,University of South Dakota,Public,www.usd.edu
494,University of North Carolina Asheville,Public,www.unca.edu
495,Ashland University,Private,www.ashland.edu
496,Simpson College (IA),Private,simpson.edu
497,University of Missouri Saint Louis,Public,www.umsl.edu
498,Florida Southern College,Private,https://www.flsouthern.edu
499,California State University Los Angeles,Public,www.calstatela.edu
500,California State University San Bernardino,Public,www.csusb.edu
501,University of Texas Arlington,Public,www.uta.edu
502,University of Northwestern St. Paul,Private,www.nwc.edu
503,Lawrence Technological University,Private,https://www.ltu.edu
504,Mississippi College,Private,www.mc.edu
505,University of North Georgia,Public,www.ung.edu
506,Webster University,Private,www.webster.edu
507,University of North Texas,Public,www.unt.edu
508,Texas State University,Public,www.txstate.edu
509,University of Maine,Public,www.umaine.edu
510,Central College,Private,www.central.edu
511,Christian Brothers University,Private,www.cbu.edu/admissions
512,Manhattanville College,Private,www.mville.edu
513,Georgia State University,Public,www.gsu.edu
514,William Jewell College,Private,www.jewell.edu/home
515,Northern Arizona University,Public,nau.edu
516,Westminster College (PA),Private,www.westminster.edu
517,Missouri State University,Public,www.missouristate.edu
518,University of Nebraska Omaha,Public,www.unomaha.edu
519,Florida Gulf Coast University,Public,www.fgcu.edu
520,Meredith College,Private,www.meredith.edu
521,College of Idaho,Private,www.collegeofidaho.edu
522,Carroll University,Private,www.carrollu.edu
523,Old Dominion University,Public,odu.edu
524,Mount Saint Mary's University (CA),Private,www.msmc.la.edu/index.asp
525,Andrews University,Private,www.andrews.edu
526,Lynn University,Private,www.lynn.edu
527,Baldwin Wallace University,Private,www.bw.edu
528,Otterbein University,Private,www.otterbein.edu
529,University of Massachusetts Boston,Public,www.umb.edu
530,Queens University of Charlotte,Private,www.queens.edu
531,Minnesota State University Mankato,Public,www.mnsu.edu
532,Portland State University,Public,www.pdx.edu
533,Westminster College (MO),Private,www.westminster-mo.edu
534,University of Northern Colorado,Public,www.unco.edu
535,Ripon College,Private,www.ripon.edu
536,Marietta College,Private,www.marietta.edu
537,Sam Houston State University,Public,shsu.edu
538,St. Mary's University (TX),Private,https://www.stmarytx.edu
539,Illinois College,Private,www.ic.edu
540,Central Washington University,Public,www.cwu.edu
541,Doane University,Private,www.doane.edu
542,University of Hartford,Private,www.hartford.edu
543,Hood College,Private,www.hood.edu
544,University of Colorado Colorado Springs,Public,www.uccs.edu
545,St. Catherine University,Private,www.stkate.edu
546,Fairleigh Dickinson University,Private,view.fdu.edu/default.aspx?id=320
547,Millersville University,Public,https://www.millersville.edu
548,University of Nevada Las Vegas,Public,www.unlv.edu
549,Wisconsin Lutheran College,Private,www.wlc.edu
550,Randolph College,Private,www.randolphcollege.edu
551,CUNY College of Staten Island,Public,www.csi.cuny.edu
552,Vanguard University,Private,www.vanguard.edu
553,Immaculata University,Private,www.immaculata.edu
554,Lycoming College,Private,www.lycoming.edu
555,University of Louisiana Lafayette,Public,www.louisiana.edu
556,Huntington University,Private,huntington.edu
557,Hollins University,Private,www.hollins.edu/index.shtml
558,Benedictine University,Private,www.ben.edu
559,University of North Carolina Greensboro,Public,www.uncg.edu
560,King's College (PA),Private,www.kings.edu
561,Hastings College,Private,www.hastings.edu
562,Georgia Southern University,Public,www.georgiasouthern.edu
563,Southern Illinois University Edwardsville,Public,www.siue.edu
564,Western Michigan University,Public,wmich.edu
565,Asbury University,Private,www.asbury.edu
566,Oakland University,Public,www.oakland.edu
567,University of New Mexico,Public,www.unm.edu
568,Bloomsburg University of Pennsylvania,Public,www.bloomu.edu
569,Boise State University,Public,www.boisestate.edu
570,College of the Atlantic,Private,www.coa.edu/index.htm
571,University of Texas Rio Grande Valley,Public,www.utrgv.edu
572,Maryville College,Private,www.maryvillecollege.edu
573,Oral Roberts University,Private,www.oru.edu
574,University of Alaska Fairbanks,Public,www.alaska.edu
575,Randolph-Macon College,Private,www.rmc.edu
576,Montana Tech of the University of Montana,Public,www.mtech.edu
577,St. John's College Santa Fe,Private,www.sjca.edu
578,Indiana University-Purdue University Indianapolis,Public,www.iupui.edu
579,Hartwick College,Private,www.hartwick.edu
580,Alfred University,Private,www.alfred.edu
581,Oklahoma Baptist University,Private,www.okbu.edu
582,Alma College,Private,www.alma.edu
583,Saint Cloud State University,Public,www.stcloudstate.edu
584,Capital University,Private,www.capital.edu
585,Liberty University,Private,www.liberty.edu
586,Russell Sage College,Private,www.sage.edu/rsc
587,Converse College,Private,www.converse.edu
588,Oglethorpe University,Private,www.oglethorpe.edu
589,Central Michigan University,Public,www.cmich.edu
590,University of Wisconsin Milwaukee,Public,www.uwm.edu
591,Bowling Green State University,Public,www.bgsu.edu
592,Texas Woman's University,Public,www.twu.edu
593,University of Mount Union,Private,www.mountunion.edu
594,Clarke University,Private,www.clarke.edu
595,Carthage College,Private,www.carthage.edu
596,Centenary College of Louisiana,Private,www.centenary.edu
597,Wichita State University,Public,www.wichita.edu
598,Aurora University,Private,www.aurora.edu
599,Georgetown College (KY),Private,https://www.georgetowncollege.edu
600,Western Kentucky University,Public,www.wku.edu
601,Wayne State University,Public,wayne.edu
602,Western Colorado University,Public,www.western.edu
603,Rhode Island College,Public,www.ric.edu
604,Weber State University,Public,www.weber.edu
605,Salem College,Private,www.salem.edu
606,University of Texas El Paso,Public,www.utep.edu
607,Spring Hill College,Private,www.shc.edu
608,Sweet Briar College,Private,sbc.edu
609,University of Toledo,Public,www.utoledo.edu
610,University of Montana,Public,www.umt.edu
611,Southeastern Louisiana University,Public,www.selu.edu
